Level,BoardSize,DifficultyBand,DifficultyScore,StarterCats,LogicalSteps,InitialForcedMoves,LongestChain,Archetype,UniqueSolution,LogicOnlySolvable,ValidationStatus
1,5,Tutorial,102,1,4,1,4,LongCorridor,True,True,PASS
2,5,Tutorial,106,1,4,1,4,EdgePressure,True,True,PASS
3,5,Tutorial,110,1,4,1,4,LargeAmbiguousRegion,True,True,PASS
4,5,Tutorial,150,1,7,1,4,CenterLock,True,True,PASS
5,6,Tutorial,139,1,5,1,5,TwoSidedSolve,True,True,PASS
6,6,Tutorial,143,1,5,1,5,DiagonalChain,True,True,PASS
7,6,Tutorial,147,1,6,1,5,SpiralReasoning,True,True,PASS
8,6,Tutorial,163,1,6,1,5,RowCascade,True,True,PASS
9,6,Tutorial,155,1,5,1,5,LateUnlock,True,True,PASS
10,6,Tutorial,171,1,6,1,5,Staircase,True,True,PASS
11,6,Very Easy,170,0,6,0,6,SmallRegionOpening,True,True,PASS
12,6,Very Easy,191,1,7,1,5,LongCorridor,True,True,PASS
13,6,Very Easy,178,0,6,0,6,EdgePressure,True,True,PASS
14,6,Very Easy,206,0,9,0,6,LargeAmbiguousRegion,True,True,PASS
15,6,Very Easy,246,0,11,0,6,CenterLock,True,True,PASS
16,6,Very Easy,183,1,5,1,5,TwoSidedSolve,True,True,PASS
17,6,Very Easy,254,0,11,0,6,DiagonalChain,True,True,PASS
18,6,Very Easy,234,0,9,0,6,CenterOut,True,True,PASS
19,6,Very Easy,214,0,7,0,6,ColumnCascade,True,True,PASS
20,6,Very Easy,199,1,5,1,5,LateUnlock,True,True,PASS
21,6,Easy,198,0,6,0,6,Staircase,True,True,PASS
22,6,Easy,214,0,6,0,6,SmallRegionOpening,True,True,PASS
23,6,Easy,290,0,12,0,6,LongCorridor,True,True,PASS
24,6,Easy,246,0,8,0,6,EdgePressure,True,True,PASS
25,6,Easy,250,0,8,0,6,LargeAmbiguousRegion,True,True,PASS
26,6,Easy,290,0,11,0,6,CenterLock,True,True,PASS
27,6,Easy,342,0,15,0,6,SpiralReasoning,True,True,PASS
28,6,Easy,250,0,8,0,6,RowCascade,True,True,PASS
29,6,Easy,302,0,11,0,6,CenterOut,True,True,PASS
30,6,Easy,282,0,9,0,6,ColumnCascade,True,True,PASS
31,6,Easy,250,0,6,0,6,LateUnlock,True,True,PASS
32,6,Easy,290,0,9,0,6,Staircase,True,True,PASS
